Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Spermatogenesis,-0.5394337488505124,-1.7477614394923295,0.001976284584980237,0.041030857917938285,135,40,HSPA2;PSMG1;RAD17;BRAF;CDK1;PEBP1;MAP7;GSTM3;NF2;TSN;TOPBP1;NCAPH;STAM2;RFC4;MTOR;IFT88;COIL;TALDO1;SIRT1;CLPB;IP6K1;KIF2C;PHKG2;TUBA3C;LPIN1;IDE;PRKAR2A;ZC3H14;GAPDHS;CSNK2A2;AGFG1;STRBP;HSPA4L;ALOX15;EZH2;ACE;VDAC3;SLC12A2;CLGN;HSPA1L,ZC3H14;GAPDHS;CSNK2A2;AGFG1;STRBP;HSPA4L;ALOX15;EZH2;ACE;VDAC3;SLC12A2;CLGN;HSPA1L
Cholesterol Homeostasis,-0.4844872967322379,-1.6432609728241976,0.008213552361396304,0.05968124788063751,74,45,ALCAM;FABP5;PLAUR;PMVK;ETHE1;ACTG1;ACAT2;S100A11;ECH1;MVD;TM7SF2;PCYT2;FBXO6;STX5;PDK3;CLU;FDPS;LGALS3;CTNNB1;ALDOC;CD9;LGMN;NSDHL;IDI1;GSTM2;ATXN2;HMGCS1;FASN;SQLE;ACSS2;PLSCR1;LSS;GNAI1;MVK;GPX8;ANXA5;DHCR7;HSD17B7;GUSB;FDFT1;CYP51A1;CHKA;JAG1;HMGCR;FADS2,HSD17B7;GUSB;FDFT1;CYP51A1;CHKA;JAG1;HMGCR;FADS2
Wnt-beta Catenin Signaling,-0.5848309507516831,-1.5367875958114434,0.025490196078431372,0.07716598847066802,42,16,NOTCH1;CUL1;FZD1;ADAM17;RBPJ;LEF1;HDAC5;HDAC2;DVL2;CTNNB1;NCSTN;NCOR2;NUMB;GNAI1;JAG1;DKK4,JAG1;DKK4
Hedgehog Signaling,-0.5399169078832704,-1.550877209099898,0.043209876543209874,0.09231943031536115,36,22,MYH9;VEGFA;RTN1;CRMP1;CELSR1;NF1;LDB1;NRCAM;PLG;TLE3;PML;DPYSL2;AMOT;OPHN1;CDK6;RASA1;TLE1;THY1;NRP2;NRP1;VLDLR;ADGRG1,VLDLR;ADGRG1
Apical Junction,0.39402073808602395,1.5615844575684583,0.003883495145631068,0.1730989839396919,200,125,CD34;TGFBI;CALB2;VCAN;VCL;MYL12B;FSCN1;PBX2;CLDN7;CRAT;MSN;MMP9;RRAS;MYL9;FLNC;MYH9;CNN2;ACTN4;CD99;YWHAH;TSC1;PECAM1;PTK2;SPEG;CDH6;ITGA2;ACTG1;CAP1;RSU1;THBS3;PARVA;JUP;FBN1;CNTN1;ITGB4;SIRPA;NF1;MVD;ADAM15;SRC;MMP2;INPPL1;VWF;NF2;BAIAP2;EGFR;HADH;NECTIN4;PLCG1;SGCE;NEXN;ADAM9;VAV2;AKT3;EXOC4;DLG1;SLIT2;SYMPK;SYK;SKAP2;DHX16;CTNND1;CTNNA1;TIAL1;LIMA1;PTPRC;NECTIN2;ACTN1;CDH11;ICAM2;LDLRAP1;ITGB1;GRB7;MAPK14;ARPC2;VASP;PIK3CB;GAMT;WASL;LAMC2;MYH10;FYB1;RASA1;ACTG2;ITGA9;SHC1;ICAM1;CDH3;SORBS3;IRS1;SHROOM2;LAMB3;ACTN2;AKT2;GNAI2;EPB41L2;MPP5;TUBG1;THY1;TJP1;RAC2;MPZL2;LAMA3;ARHGEF6;CDH1;GNAI1;STX4;GTF2F1;ITGA3;MAP3K20;VCAM1;PTEN;PFN1;IKBKG;PCDH1;ACTB;B4GALT1;EVL;ZYX;MAPK13;MAP4K2;TAOK2;MDK;MPZL1;CD276,CD34;TGFBI;CALB2;VCAN;VCL;MYL12B;FSCN1;PBX2;CLDN7;CRAT;MSN;MMP9;RRAS;MYL9;FLNC;MYH9;CNN2;ACTN4;CD99;YWHAH;TSC1
Pperoxisome,0.407855611663596,1.457085278511798,0.0421455938697318,0.19546869878728285,104,70,ALDH1A1;TTR;SOD2;SOD1;CRAT;ISOC1;HSD11B2;PEX6;SLC27A2;EPHX2;EHHADH;YWHAH;CDK7;HSD17B4;NUDT19;ABCD3;LONP2;HSD17B11;ACSL1;ERCC3;CTBP1;PEX5;ECH1;CAT;RETSAT;PABPC1;SIAH1;TSPO;SEMA3C;SMARCC1;MSH2;GSTK1;MVP;DHRS3;PRDX1;ACSL4;ACOX1;PRDX5;ECI2;CNBP;ACAA1;TOP2A;FDPS;ATXN1;ALB;ACOT8;ALDH9A1;MLYCD;VPS4B;CRABP2;SERPINA6;SLC25A4;SLC25A19;IDI1;ABCD1;ERCC1;CTPS1;IDE;SLC35B2;RDH11;ACSL5;GNPAT;PEX14;SCP2;IDH1;HMGCL;FIS1;BCL10;IDH2;CADM1,ALDH1A1;TTR;SOD2;SOD1;CRAT;ISOC1;HSD11B2;PEX6;SLC27A2;EPHX2;EHHADH;YWHAH;CDK7;HSD17B4
Epithelial Mesenchymal Transition,0.37296642552184456,1.4754958392258481,0.01639344262295082,0.23044357041407187,200,138,TGFBI;VCAN;CD59;LGALS1;FBLN1;COL6A2;CTHRC1;SDC1;CD44;SFRP4;TNC;SGCD;CALU;COL1A1;POSTN;WNT5A;NNMT;GPC1;PVR;BASP1;PPIB;COL3A1;EFEMP2;MYL9;COL1A2;MYLK;FBLN5;COL6A3;VEGFA;QSOX1;PLAUR;SGCB;CDH6;NOTCH2;PRSS2;MXRA5;TGFB1;ITGA2;IGFBP2;FBN1;CALD1;TIMP1;SPARC;CAPG;DST;PLOD2;ELN;LAMA2;PFN2;HTRA1;FLNA;SERPINH1;DCN;FN1;MMP2;LOXL2;GPX7;CXCL12;MCM7;COPA;FAP;FERMT2;LAMC1;PLOD1;SLIT2;TPM4;ITGA5;VIM;ECM1;BGN;PRRX1;SNTB1;P3H1;MFAP5;CAP2;FUCA1;COL4A2;PDGFRB;SPP1;CDH11;ITGB1;COL5A1;COMP;TIMP3;ANPEP;DAB2;RHOB;COLGALT1;PLOD3;LAMC2;FMOD;LRP1;DPYSL3;COL7A1;TAGLN;IGFBP4;COL4A1;PCOLCE;ITGB5;THBS1;FGF2;SFRP1;FAS;THY1;THBS2;FSTL1;LAMA3;MSX1;ITGAV;TNFAIP3;NID2;MMP14;LUM;SDC4;SLIT3;VCAM1;ABI3BP;IGFBP3;COL12A1;MGP;WIPF1;TGM2;TPM2;FBLN2;ITGB3;LAMA1;GJA1;ACTA2;MATN2;FBN2;NT5E;PDLIM4;CDH2;COL5A2;ENO2;CADM1;SERPINE2;TPM1,TGFBI;VCAN;CD59;LGALS1;FBLN1;COL6A2;CTHRC1;SDC1;CD44;SFRP4;TNC;SGCD;CALU;COL1A1;POSTN;WNT5A;NNMT;GPC1;PVR;BASP1;PPIB;COL3A1;EFEMP2;MYL9;COL1A2;MYLK;FBLN5;COL6A3;VEGFA;QSOX1
Reactive Oxygen Species Pathway,0.4757408274564193,1.5673190324087767,0.022222222222222223,0.3270239265814487,49,43,SOD2;SOD1;PRDX4;HMOX2;NDUFB4;OXSR1;MPO;G6PD;TXN;JUNB;TXNRD2;PRDX6;LAMTOR5;PDLIM1;PFKP;GLRX;GPX3;NDUFA6;CAT;MGST1;PRDX2;GCLC;PRDX1;ERCC2;GSR;NQO1;GPX4;LSP1;FTL;MSRA;ATOX1;MBP;STK25;FES;TXNRD1;SELENOS;PTPA;NDUFS2;SCAF4;SRXN1;ABCC1;GCLM;PRNP,SOD2;SOD1;PRDX4;HMOX2;NDUFB4;OXSR1;MPO;G6PD;TXN;JUNB;TXNRD2;PRDX6;LAMTOR5;PDLIM1
Complement,0.33359510194675807,1.3325185125003565,0.023668639053254437,0.3766633890527695,200,132,CD59;GNAI3;CTSC;CTSH;CTSS;LAMP2;AKAP10;PPP4C;MMP8;F3;PLA2G4A;F5;SERPING1;TIMP2;CA2;GMFB;LYN;DPP4;PSMB9;C9;PLAUR;APOC1;PDP1;LAP3;C1S;S100A9;CASP3;HSPA5;C2;CSRP1;TIMP1;RBSN;LIPA;KYNU;CTSD;CPM;F2;DOCK9;ITGAM;CTSL;ANG;GPD2;GNG2;FN1;SRC;S100A12;XPNPEP1;RAF1;PREP;IRF2;C3;GRB2;CFH;PRKCD;MMP12;FDX1;ADAM9;CASP9;C4BPB;DOCK4;PLG;PRCP;CDA;APOBEC3G;DOCK10;HSPA1A;ITIH1;LTF;CLU;RHOG;SERPINA1;USP14;CD55;CD46;COL4A2;APOA4;LTA4H;SIRT6;F10;CASP1;PPP2CB;CP;LGALS3;ATOX1;USP15;CASP4;WAS;GZMA;SERPINC1;LGMN;C1QA;C1R;PLAT;KLKB1;CTSV;LRP1;FCN1;USP8;VCPIP1;CPQ;CDH13;KIF2A;GNB2;GNB4;CFB;ACTN2;DGKH;GNAI2;FCER1G;USP16;CASP10;GCA;PLSCR1;S100A13;RABIF;ERAP2;CEBPB;TNFAIP3;STX4;CASP7;EHD1;MMP14;ZEB1;PIK3CA;ME1;PFN1;PLEK;CTSB;ANXA5;CBLB;C1QC;LCP2,CD59;GNAI3;CTSC;CTSH;CTSS;LAMP2;AKAP10;PPP4C;MMP8;F3;PLA2G4A;F5;SERPING1;TIMP2;CA2;GMFB;LYN;DPP4;PSMB9;C9;PLAUR;APOC1;PDP1;LAP3
Fatty Acid Metabolism,0.3276044420992086,1.2719281046054953,0.09980806142034548,0.39854614412136535,158,115,ALDH1A1;HPGD;PCBD1;LGALS1;ALDH3A1;D2HGDH;SMS;S100A10;CRAT;CRYZ;EHHADH;VNN1;DECR1;ALDOA;CA2;YWHAH;HSD17B4;HSD17B10;DLD;FH;PRDX6;HADHB;HSD17B11;CCDC58;ACAT2;ACSS1;PDHA1;ACSL1;BLVRA;IDH3G;GSTZ1;PTS;ADSL;HIBCH;UBE2L6;ECH1;UGDH;GPD2;ACO2;RETSAT;CPT2;ALAD;LDHA;HADH;ALDH3A2;BCKDHB;SUCLG2;RAP1GDS1;MCEE;MDH2;PDHB;APEX1;ACSL4;HCCS;CPT1A;ADH1C;ACOX1;GCDH;ECI2;CBR3;SUCLA2;ECI1;ACADS;NBN;ACAA1;UROS;METAP1;PTPRG;HSPH1;CBR1;IDH3B;ETFDH;AUH;ACOT8;ALDH9A1;MLYCD;ACADM;MAOA;DLST;EPHX1;ACADVL;NSDHL;IDI1;PSME1;HMGCS1;FASN;ACSM3;RDH11;GRHPR;SDHA;CPOX;BPHL;UROD;ACSL5;HSDL2;ERP29;ACAA2;GAPDHS;NTHL1;HSP90AA1;AOC3;SUCLG1;ME1;ECHS1;IDH1;HMGCL;MDH1;MIF;OSTC;MGLL;ENO3;HSD17B7;ENO2;IL4I1;GLUL,ALDH1A1;HPGD;PCBD1;LGALS1;ALDH3A1;D2HGDH;SMS;S100A10;CRAT;CRYZ;EHHADH;VNN1;DECR1;ALDOA;CA2;YWHAH;HSD17B4;HSD17B10;DLD;FH;PRDX6
