LINE 501 : 2020-11-12 15:34:44,858 [INFO    ] Parsing data files for GSEA.............................
LINE 205 : 2020-11-12 15:34:44,860 [DEBUG   ] Starting new HTTP connection (1): amp.pharm.mssm.edu:80
LINE 393 : 2020-11-12 15:34:45,304 [DEBUG   ] http://amp.pharm.mssm.edu:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 307 171
LINE 813 : 2020-11-12 15:34:45,306 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 393 : 2020-11-12 15:34:45,685 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 185 : 2020-11-12 15:34:45,774 [INFO    ] Downloading and generating Enrichr library gene sets......
LINE 205 : 2020-11-12 15:34:45,776 [DEBUG   ] Starting new HTTP connection (1): amp.pharm.mssm.edu:80
LINE 393 : 2020-11-12 15:34:45,936 [DEBUG   ] http://amp.pharm.mssm.edu:80 "GET /Enrichr/geneSetLibrary?mode=text&libraryName=MSigDB_Hallmark_2020 HTTP/1.1" 307 171
LINE 813 : 2020-11-12 15:34:45,938 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 393 : 2020-11-12 15:34:48,125 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/geneSetLibrary?mode=text&libraryName=MSigDB_Hallmark_2020 HTTP/1.1" 200 None
LINE 135 : 2020-11-12 15:34:51,595 [INFO    ] 0002 gene_sets have been filtered out when max_size=500 and min_size=15
LINE 505 : 2020-11-12 15:34:51,595 [INFO    ] 0048 gene_sets used for further statistical testing.....
LINE 506 : 2020-11-12 15:34:51,595 [INFO    ] Start to run GSEA...Might take a while..................
LINE 465 : 2020-11-12 15:34:51,596 [DEBUG   ] Start to compute enrichment scores......................
LINE 489 : 2020-11-12 15:34:51,596 [DEBUG   ] Start to compute es and esnulls........................
LINE 652 : 2020-11-12 15:35:09,924 [DEBUG   ] Start to compute pvals..................................
LINE 656 : 2020-11-12 15:35:09,925 [DEBUG   ] Start to compute nes and nesnull........................
LINE 660 : 2020-11-12 15:35:09,928 [DEBUG   ] Start to compute fdrs..................................
LINE 634 : 2020-11-12 15:35:09,933 [DEBUG   ] Statistical testing finished.............................
LINE 514 : 2020-11-12 15:35:09,934 [INFO    ] Start to generate gseapy reports, and produce figures...
LINE 1246: 2020-11-12 15:35:10,638 [DEBUG   ] findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=14.0.
LINE 1258: 2020-11-12 15:35:10,639 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2020-11-12 15:35:10,640 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Display' (DejaVuSansDisplay.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2020-11-12 15:35:10,640 [DEBUG   ] findfont: score(<Font 'cmmi10' (cmmi10.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2020-11-12 15:35:10,640 [DEBUG   ] findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymReg.ttf) normal normal regular normal>) = 10.05
